Name,ValueinCR,MatchPlayed,InningsBatted,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,InningsBowled,Overs,Maidens,RunsConceded,Wickets
Aiden Markram,2.6,6,6,146,0,0,12,4,29.2,122.68,3,2,4,0,23,0
Sean Abbott,2.4,2,2,15,0,0,1,1,7.5,115.38,,2,5,0,57,0
Glenn Phillips,1.5,3,3,26,0,0,1,2,13,78.78,1,2,2,0,20,1
Shreyas Gopal,0.75,48,21,171,0,0,17,2,12.21,105.55,11,47,155.1,1,1247,48
Fazalhaq Farooqi,0.5,,,,,,,,,,,,,,,
Vishnu Vinod,0.5,3,3,19,0,0,1,1,6.33,73.07,0,,,,,
Priyam Garg,0.2,19,15,205,0,1,11,7,14.64,110.81,6,,,,,
Saurabh Dubey,0.2,,,,,,,,,,,,,,,
Jagadeesha Suchith,0.2,17,8,68,0,0,6,3,34,128.3,9,16,52,0,462,12
Shashank Singh,0.2,,,,,,,,,,,,,,,
Ravikumar Samarth,0.2,,,,,,,,,,,,,,,
Sanju Samson,14,121,117,3068,3,15,236,132,29.21,134.2,59,,,,,
Prasidh Krishna,10,34,7,3,0,0,0,0,1.5,25,7,34,124.2,0,1152,30
Jos Buttler,10,65,64,1968,1,11,194,90,35.14,150,34,,,,,
Shimron Hetmyer,8.5,31,29,517,0,2,34,31,25.85,151.17,14,,,,,
Trent Boult,8,62,10,13,0,0,0,1,4.33,68.42,23,62,236.1,5,1983,76
Devdutt Padikkal,7.75,29,29,884,1,6,95,22,31.57,125.03,15,,,,,
Yuzvendra Chahal,6.5,114,18,32,0,0,0,0,5.33,41.02,24,113,408,4,3097,139
Ravichandran Ashwin,5,167,63,456,0,0,37,12,11.12,109.88,37,164,583,4,4031,145
Yashasvi Jaiswal,4,13,13,289,0,1,34,12,22.23,136.32,4,,,,,
Riyan Parag,3.8,30,23,339,0,1,29,12,16.95,118.53,12,15,22.1,0,221,3
Navdeep Saini,2.6,28,6,31,0,0,3,0,10.33,88.57,6,28,97.4,1,828,17
Nathan Coulter-Nile,2,38,16,81,0,0,7,4,7.36,115.71,12,37,139.5,1,1052,48
James Neesham,1.5,12,8,61,0,0,3,2,8.71,92.42,1,12,33,0,305,8
Karun Nair,1.4,73,66,1480,0,10,160,39,24.26,128.36,22,,,,,
Rassie van der Dussen,1,,,,,,,,,,,,,,,
Obed McCoy,0.75,,,,,,,,,,,,,,,
Daryl Mitchell,0.75,,,,,,,,,,,,,,,
KC Cariappa,0.3,11,5,24,0,0,0,2,8,114.28,3,11,36,0,348,8
Tejas Baroka,0.2,1,0,,0,0,0,0,,0,,1,3.3,0,33,0
Kuldip Yadav,0.2,1,1,0,0,0,0,0,,0,,1,2,0,16,0
Dhruv Jurel,0.2,,,,,,,,,,,,,,,
